04011523;Schönebeck (Ortsteil);2014;30;46;-16;23;29;-6;19;28;-9;3;10;-7;3;7;-4;1;2;-1;3;7;-4;0;1;-1
04011524;Aumund-Hammersbeck (Ortsteil);2014;98;53;45;66;37;29;41;27;14;14;5;9;5;5;0;2;4;-2;24;7;17;1;0;1
04011525;Fähr-Lobbendorf (Ortsteil);2014;262;81;181;222;70;152;199;57;142;11;7;4;7;1;6;5;5;0;25;5;20;3;0;3
0401153;Blumenthal (Stadtteil);2014;485;277;208;383;221;162;309;152;157;42;31;11;28;15;13;4;11;-7;62;29;33;8;1;7
04011531;Blumenthal (Ortsteil);2014;239;120;119;205;100;105;170;62;108;33;15;18;18;8;10;2;4;-2;10;8;2;4;0;4
04011532;Rönnebeck (Ortsteil);2014;67;40;27;62;30;32;49;21;28;1;9;-8;0;1;-1;1;3;-2;4;6;-2;0;0;0
04011533;Lüssum-Bockhorn (Ortsteil);2014;147;95;52;92;72;20;72;52;20;5;5;0;9;5;4;1;4;-3;41;13;28;4;1;3
04011534;Farge (Ortsteil);2014;24;15;9;18;12;6;14;10;4;2;2;0;1;1;0;0;0;0;5;2;3;0;0;0
04011535;Rekum (Ortsteil);2014;8;7;1;6;7;-1;4;7;-3;1;0;1;0;0;0;0;0;0;2;0;2;0;0;0
04012;Stadt Bremerhaven;2014;4105;2088;2017;3424;1693;1731;2753;1311;1442;558;346;212;111;68;43;83;86;-3;472;239;233;15;2;13

1) EU15-Staaten sowie Bulgarien, Estland, Kroatien, Lettland, Litauen, Malta, Polen, Rumänien, Slowakei, Slowenien, Tschechien, Ungarn und Zypern.

2) Belgien, Dänemark, Finnland, Frankreich, Griechenland, Großbritannien, Irland, Italien, Luxemburg, Niederlande, Österreich, Portugal, Schweden und Spanien.


© Statistisches Landesamt Bremen
